,A_168,D_140,E_140,D_112,E_56,B_28,B_112,C_196,E_196,D_84,C_56,B_84,D_28,A_140,C_84,C_168,B_168,C_112,B_56,E_84,F_112,D_196,D_168,F_168,F_196,A_28,A_56,A_84,E_168,A_112,F_84,C_28,A_196,B_140,B_196,E_112,C_140,D_56,Ancestor,E_28,F_56,F_140,F_28
all_reads,3633968,4865326,4624844,5379081,4913160,5768277,5412579,2821565,4450153,5512765,5852570,6020682,4860522,6254274,5183437,3733538,5061975,5994170,5644316,6429111,6074031,4038886,4082247,3244162,4296480,5481992,5252646,5457005,5408585,5950173,5309309,4233365,3662759,4912409,4094947,5045201,4456753,7064114,5821111,6105507,4993897,4812271,4710740
merged_reads,3542333,4779484,4524961,5277480,4784423,5662721,5280282,2736908,4362365,5396684,5596493,5856702,4737894,6118275,5064760,3661853,4979322,5853255,5512386,6267484,5922186,3970126,4014578,3167604,4134674,5366540,5126277,5348448,5273272,5827189,5148562,4140416,3574595,4807122,4014834,4960519,4361920,6934465,5718767,5983795,4845600,4715869,4586064
trimmed_reads,2926628,3249353,3308823,3733280,3269854,4368457,4035020,1722796,3514091,3887935,4488054,4684701,3748229,4716363,3922404,2239791,4230867,4469671,4371664,4380784,4041784,3230417,3046573,2709184,3549778,4112618,3988540,3894617,3809355,4339785,4053884,3300835,3157532,3971206,3199442,3299428,3088558,5484648,4545193,4295798,3463518,3654963,3573180
found_designs_0_mismatches,12873,13105,13060,13301,13739,14051,13537,12285,11980,13591,13743,13660,14039,13512,13664,12939,13085,13503,13920,13544,13458,11655,12803,12683,11968,14077,13989,13740,12688,13657,13692,13994,12068,13348,12194,13393,13243,13948,14191,14056,13814,13220,14051
design_count_pre_umi_0_mismatches,1802539,1956922,2519390,2373809,2156239,2899879,2867948,562745,2235623,2532235,3056736,3210927,2488512,2733648,2552533,925635,3162020,2695006,2911576,2969268,2606130,1150195,1492297,1848229,2743971,2737688,2643388,2519221,3050358,2676546,2725038,2199343,1842913,3052431,1704459,2251406,1621444,3652200,3039071,2863735,2269965,2412452,2373160
design_count_post_umi_0_mismatches,922244,1475756,1505411,1933415,2044146,2826949,2307177,445096,816510,2284870,2557905,2749744,2425104,2394491,2451874,806099,1922558,2495107,2807023,2516902,2230757,570082,938004,803835,793411,2680049,2595402,2459016,1024359,2542223,2521922,2119244,650987,1960663,758509,2028337,1453250,3502038,2952546,2754222,2220292,1769733,2322689
found_designs_1_mismatches,13607,13817,13861,13995,14125,14203,14067,12880,12568,14094,14136,14130,14208,14079,14126,13629,13852,14087,14193,14075,14000,12219,13509,13347,12487,14209,14187,14118,13484,14113,14128,14189,12641,13939,12786,14048,13924,14201,14224,14211,14148,13937,14193
design_count_pre_umi_1_mismatches,2407092,2236237,2823942,2731379,2593089,3481023,3325107,812626,2401220,2978301,3645776,3815012,2990364,3577853,3061340,1176014,3690890,3214817,3495949,3547970,3143221,1349814,1770549,2051695,2979259,3283313,3174463,3041453,3312591,3351223,3257640,2638159,2769795,3421080,2828670,2668609,1937174,4373536,3646761,3438630,2728559,2887084,2849841
design_count_post_umi_1_mismatches,1221689,1714000,1752126,2252420,2446890,3384227,2719004,595146,909290,2698399,3015597,3242531,2905869,2977813,2930594,1000597,2272239,2971268,3358742,2976008,2669634,689888,1126304,942614,900966,3206826,3110551,2958314,1172499,3106755,2995152,2532796,975458,2268324,984208,2406315,1737153,4178423,3531953,3295201,2662598,2146233,2782321
found_designs_2_mismatches,13746,13939,13988,14064,14169,14214,14119,13068,12749,14142,14173,14161,14217,14134,14170,13762,13954,14143,14208,14145,14075,12393,13653,13486,12676,14217,14208,14159,13650,14152,14167,14206,12833,14047,12974,14126,14016,14219,14226,14222,14174,14036,14208
